
Sample	Band	MW
AZ38_B1_091016A	1	767
AZ38_B1_091016A	2	443
AZ38_B1_091016A	3	257
AZ38_C1_091016A	1	763
AZ38_C1_091016A	2	439
AZ38_C1_091016A	3	254
AZ38_D1_091016A	1	760
AZ38_D1_091016A	2	459
AZ38_D1_091016A	3	238
AZ38_E1_091016A	1	750
AZ38_E1_091016A	2	212
AZ38_E1_091016A	3	186
AZ38_E1_091016A	4	144
AZ38_E1_091016A	5	97
AZ38_F1_091016A	1	768
AZ38_F1_091016A	2	447
AZ38_F1_091016A	3	260
AZ38_G1_091016A	1	765
AZ38_G1_091016A	2	472
AZ38_G1_091016A	3	249
AZ38_H1_091016A	1	762
AZ38_H1_091016A	2	478
AZ38_H1_091016A	3	248
AZ38_B2_091016A	1	951
AZ38_B2_091016A	2	755
AZ38_B2_091016A	3	658
AZ38_B2_091016A	4	295
AZ38_B2_091016A	5	258
AZ38_B2_091016A	6	202
AZ38_C2_091016A	1	750
AZ38_C2_091016A	2	261
AZ38_C2_091016A	3	200
AZ38_C2_091016A	4	60
AZ38_E2_091016A	1	934
AZ38_E2_091016A	2	629
AZ38_E2_091016A	3	314
AZ38_F2_091016A	1	947
AZ38_F2_091016A	2	654
AZ38_F2_091016A	3	290
AZ38_G2_091016A	1	932
AZ38_G2_091016A	2	630
AZ38_G2_091016A	3	307
AZ38_C3_091016B	1	756
AZ38_C3_091016B	2	473
AZ38_C3_091016B	3	129
AZ38_C3_091016B	4	101
AZ38_D3_091016B	1	971
AZ38_D3_091016B	2	649
AZ38_D3_091016B	3	277
AZ38_E3_091016B	1	762
AZ38_E3_091016B	2	460
AZ38_E3_091016B	3	238
AZ38_G3_091016B	1	972
AZ38_G3_091016B	2	630
AZ38_G3_091016B	3	293
AZ38_B4_091016B	1	988
AZ38_B4_091016B	2	654
AZ38_B4_091016B	3	309
AZ38_D4_091016B	1	812
AZ38_D4_091016B	2	466
AZ38_D4_091016B	3	277
AZ38_E4_091016B	1	791
AZ38_E4_091016B	2	482
AZ38_E4_091016B	3	256
AZ38_F4_091016B	1	795
AZ38_F4_091016B	2	463
AZ38_F4_091016B	3	275
AZ38_G4_091016B	1	1001
AZ38_G4_091016B	2	671
AZ38_G4_091016B	3	293
AZ38_H4_091016B	1	1018
AZ38_H4_091016B	2	681
AZ38_H4_091016B	3	297
