Sample	Band	MW	Gel
Ni_25_B1	1	822	090515
Ni_25_B1	2	691	090515
Ni_25_B1	3	133	090515
Ni_25_B1	4	118	090515
Ni_25_B1	5	99	090515
Ni_25_B1	6	91	090515
Ni_25_G1	1	807	090515
Ni_25_G1	2	669	090515
Ni_25_G1	3	136	090515
Ni_25_G1	4	100	090515
Ni_25_G1	5	90	090515
Ni_25_B2	1	662	090515
Ni_25_B2	2	133	090515
Ni_25_B2	3	97	090515
Ni_25_B2	4	88	090515
Ni_25_D2	1	682	090515
Ni_25_D2	2	130	090515
Ni_25_D2	3	116	090515
Ni_25_D2	4	96	090515
Ni_25_D2	5	87	090515
Ni_25_H2	1	709	090515A.
Ni_25_H2	2	131	090515A.
Ni_25_H2	3	117	090515A.
Ni_25_H2	4	98	090515A.
Ni_25_H2	5	89	090515A.
Ni_25_A3	1	508	090515A.
Ni_25_A3	2	322	090515A.
Ni_25_A3	3	307	090515A.
Ni_25_A3	4	154	090515A.
Ni_25_A3	5	88	090515A.
Ni_25_A3	6	53	090515A.
Ni_25_B3	1	510	090515A.
Ni_25_B3	2	324	090515A.
Ni_25_B3	3	305	090515A.
Ni_25_B3	4	153	090515A.
Ni_25_B3	5	89	090515A.
Ni_25_B3	6	53	090515A.
Ni_25_A4	1	272	090515A.
Ni_25_A4	2	239	090515A.
Ni_25_A4	3	135	090515A.
Ni_25_A4	4	98	090515A.
Ni_25_A4	5	80	090515A.
Ni_25_B4	1	530	090515A.
Ni_25_B4	2	477	090515A.
Ni_25_B4	3	361	090515A.
Ni_25_B4	4	237	090515A.
Ni_25_B4	5	180	090515A.
Ni_25_B4	6	135	090515A.
Ni_25_B4	7	115	090515A.
Ni_25_B4	8	46	090515A.
Ni_25_C4	1	116	090515A.
Ni_25_C4	2	862	090515A.
Ni_25_C4	3	806	090515A.
Ni_25_C4	4	390	090515A.
Ni_25_C4	5	314	090515A.
Ni_25_C4	6	266	090515A.
Ni_25_C4	7	237	090515A.
Ni_25_C4	8	178	090515A.
Ni_25_C4	9	65	090515A.
Ni_25_D4	1	841	090515A.
Ni_25_D4	2	695	090515A.
Ni_25_D4	3	544	090515A.
Ni_25_D4	4	481	090515A.
Ni_25_D4	5	133	090515A.
Ni_25_D4	6	118	090515A.
Ni_25_D4	7	98	090515A.
Ni_25_D4	8	89	090515A.
Ni_28_A1	1	328	090520
Ni_28_A1	2	306	090520
Ni_28_A1	3	153	090520
Ni_28_A1	4	90	090520
Ni_28_A1	5	53	090520
Ni_28_B1	1	325	090520
Ni_28_B1	2	300	090520
Ni_28_B1	3	150	090520
Ni_28_B1	4	90	090520
Ni_28_B1	5	52	090520
Ni_28_C1	1	323	090520
Ni_28_C1	2	297	090520
Ni_28_C1	3	149	090520
Ni_28_C1	4	90	090520
Ni_28_C1	5	53	090520
Ni_28_D1	1	320	090520
Ni_28_D1	2	299	090520
Ni_28_D1	3	150	090520
Ni_28_D1	4	88	090520
Ni_28_D1	5	53	090520
Ni_28_E1	1	322	090520
Ni_28_E1	2	301	090520
Ni_28_E1	3	149	090520
Ni_28_E1	4	52	090520
Ni_28_G1	1	768	090520
Ni_28_G1	2	706	090520
Ni_28_G1	3	179	090520
Ni_28_G1	4	134	090520
Ni_28_G1	5	95	090520
Ni_28_G1	6	89	090520
Ni_28_H1	1	331	090520
Ni_28_H1	2	310	090520
Ni_28_H1	3	151	090520
Ni_28_A2	1	334	090520
Ni_28_A2	2	309	090520
Ni_28_A2	3	152	090520
Ni_28_A2	4	91	090520
Ni_28_B2	1	336	090520
Ni_28_B2	2	310	090520
Ni_28_B2	3	156	090520
Ni_28_C2	1	333	090520
Ni_28_C2	2	304	090520
Ni_28_C2	3	154	090520
Ni_28_D2	1	330	090520
Ni_28_D2	2	305	090520
Ni_28_D2	3	154	090520
Ni_28_D2	4	94	090520
Ni_28_D2	5	54	090520
Ni_28_F2	1	333	090520
Ni_28_F2	2	303	090520
Ni_28_F2	3	149	090520
Ni_28_F2	4	93	090520
Ni_28_B3	1	717	090520B
Ni_28_B3	2	627	090520B
Ni_28_B3	3	539	090520B
Ni_28_B3	4	140	090520B
Ni_28_B3	5	101	090520B
Ni_28_B3	6	93	090520B
Ni_28_B3	7	60	090520B
Ni_28_E3	1	333	090520B
Ni_28_E3	2	156	090520B
Ni_28_E3	3	93	090520B
Ni_28_F3	1	733	090520B
Ni_28_F3	2	624	090520B
Ni_28_F3	3	188	090520B
Ni_28_F3	4	139	090520B
Ni_28_F3	5	103	090520B
Ni_28_F3	6	94	090520B
Ni_28_A4	1	343	090520B
Ni_28_A4	2	310	090520B
Ni_28_A4	3	162	090520B
Ni_28_A4	4	94	090520B
Ni_28_A4	5	56	090520B
Ni_28_B4	1	347	090520B
Ni_28_B4	2	162	090520B
Ni_28_B4	3	102	090520B
Ni_28_B4	4	94	090520B
Ni_28_D4	1	347	090520B
Ni_28_D4	2	318	090520B
Ni_28_D4	3	162	090520B
Ni_28_D4	4	95	090520B
Ni_28_E4	1	340	090520B
Ni_28_E4	2	312	090520B
Ni_28_E4	3	161	090520B
Ni_28_E4	4	93	090520B
Ni_28_F4	1	343	090520B
Ni_28_F4	2	310	090520B
Ni_28_F4	3	157	090520B
Ni_28_F4	4	93	090520B
Ni_28_G4	1	341	090520B
Ni_28_G4	2	303	090520B
Ni_28_G4	3	156	090520B
Ni_28_G4	4	92	090520B
Ni_28_H4	1	340	090520B
Ni_28_H4	2	306	090520B
Ni_28_H4	3	155	090520B
Ni_28_H4	4	91	090520B
Ni_28_B5	1	336	090520B
Ni_28_B5	2	302	090520B
Ni_28_B5	3	155	090520B
Ni_28_B5	4	90	090520B
Ni_28_C5	1	697	090520C
Ni_28_C5	2	653	090520C
Ni_28_C5	3	133	090520C
Ni_28_C5	4	97	090520C
Ni_28_C5	5	90	090520C
Ni_28_D5	1	499	090520C
Ni_28_D5	2	324	090520C
Ni_28_D5	3	296	090520C
Ni_28_D5	4	148	090520C
Ni_28_D5	5	89	090520C
Ni_28_E5	1	325	090520C
Ni_28_E5	2	298	090520C
Ni_28_E5	3	148	090520C
Ni_28_F5	1	505	090520C
Ni_28_F5	2	325	090520C
Ni_28_F5	3	296	090520C
Ni_28_F5	4	147	090520C
Ni_28_F5	5	88	090520C
Ni_28_A6	1	324	090520C
Ni_28_A6	2	303	090520C
Ni_28_A6	3	148	090520C
Ni_28_B6	1	515	090520C
Ni_28_B6	2	325	090520C
Ni_28_B6	3	304	090520C
Ni_28_B6	4	149	090520C
Ni_28_B6	5	87	090520C
Ni_28_C6	1	512	090520C
Ni_28_C6	2	326	090520C
Ni_28_C6	3	303	090520C
Ni_28_C6	4	149	090520C
Ni_28_C6	5	87	090520C
NI_28_D6	1	323	090520C
NI_28_D6	2	302	090520C
NI_28_D6	3	146	090520C
Ni_28_E6	1	659	090520C
Ni_28_E6	2	169	090520C
Ni_28_E6	3	133	090520C
Ni_28_E6	4	95	090520C
Ni_28_E6	5	88	090520C
Ni_28_F6	1	688	090520C
Ni_28_F6	2	647	090520C
Ni_28_F6	3	168	090520C
Ni_28_F6	4	126	090520C
Ni_28_F6	5	112	090520C
Ni_28_F6	6	94	090520C
Ni_28_F6	7	86	090520C
Ni_28_H6	1	318	090520C
Ni_28_H6	2	294	090520C
Ni_28_H6	3	143	090520C
Ni_28_H6	4	85	090520C
Ni_28_H6	5	49	090520C
Ni_28_A7	1	500	090520C
Ni_28_A7	2	315	090520C
Ni_28_A7	3	291	090520C
Ni_28_A7	4	142	090520C
Ni_28_A7	5	86	090520C
Ni_28_E7	1	693	090520D
Ni_28_E7	2	546	090520D
Ni_28_E7	3	491	090520D
Ni_28_E7	4	230	090520D
Ni_28_E7	5	184	090520D
Ni_28_E7	6	135	090520D
Ni_28_E7	7	120	090520D
Ni_28_E7	8	101	090520D
Ni_28_E7	9	91	090520D
Ni_28_F7	1	695	090520D
Ni_28_F7	2	548	090520D
Ni_28_F7	3	486	090520D
Ni_28_F7	4	324	090520D
Ni_28_F7	5	231	090520D
Ni_28_F7	6	183	090520D
Ni_28_F7	7	141	090520D
Ni_28_F7	8	101	090520D
Ni_28_F7	9	91	090520D
Ni_28_G7	1	697	090520D
Ni_28_G7	2	543	090520D
Ni_28_G7	3	476	090520D
Ni_28_G7	4	229	090520D
Ni_28_G7	5	186	090520D
Ni_28_G7	6	99	090520D
Ni_28_B8	1	703	090520D
Ni_28_B8	2	549	090520D
Ni_28_B8	3	488	090520D
Ni_28_B8	4	234	090520D
Ni_28_B8	5	217	090520D
Ni_28_B8	6	187	090520D
Ni_28_B8	7	150	090520D
Ni_28_B8	8	136	090520D
Ni_28_B8	9	116	090520D
Ni_28_B8	10	99	090520D
Ni_28_B8	11	91	090520D
Ni_28_C8	1	551	090520D
Ni_28_C8	2	490	090520D
Ni_28_C8	3	396	090520D
Ni_28_C8	4	320	090520D
Ni_28_C8	5	235	090520D
Ni_28_C8	6	186	090520D
Ni_28_C8	7	150	090520D
Ni_28_C8	8	115	090520D
Ni_28_C8	9	99	090520D
Ni_28_C8	10	91	090520D
Ni_28_C8	11	67	090520D
Ni_28_D8	1	716	090520D
Ni_28_D8	2	552	090520D
Ni_28_D8	3	227	090520D
Ni_28_D8	4	189	090520D
Ni_28_D8	5	135	090520D
Ni_28_D8	6	121	090520D
Ni_28_D8	7	101	090520D
Ni_28_D8	8	91	090520D
Ni_28_F8	1	104	090520D
Ni_28_F8	2	858	090520D
Ni_28_F8	3	794	090520D
Ni_28_F8	4	716	090520D
Ni_28_F8	5	553	090520D
Ni_28_F8	6	499	090520D
Ni_28_F8	7	235	090520D
Ni_28_F8	8	190	090520D
Ni_28_F8	9	136	090520D
Ni_28_F8	10	121	090520D
Ni_28_F8	11	101	090520D
Ni_28_F8	12	92	090520D
Ni_28_G8	1	104	090520D
Ni_28_G8	2	868	090520D
Ni_28_G8	3	803	090520D
Ni_28_G8	4	715	090520D
Ni_28_G8	5	552	090520D
Ni_28_G8	6	485	090520D
Ni_28_G8	7	235	090520D
Ni_28_G8	8	190	090520D
Ni_28_G8	9	135	090520D
Ni_28_G8	10	121	090520D
Ni_28_G8	11	101	090520D
Ni_28_G8	12	92	090520D
Ni_28_H8	1	105	090520D
Ni_28_H8	2	856	090520D
Ni_28_H8	3	792	090520D
Ni_28_H8	4	714	090520D
Ni_28_H8	5	537	090520D
Ni_28_H8	6	491	090520D
Ni_28_H8	7	236	090520D
Ni_28_H8	8	191	090520D
Ni_28_H8	9	136	090520D
Ni_28_H8	10	121	090520D
Ni_28_H8	11	102	090520D
Ni_28_H8	12	92	090520D
Ni_28_A9	1	113	090520D
Ni_28_A9	2	103	090520D
Ni_28_A9	3	651	090520D
Ni_28_A9	4	49	090520D
Ni_28_B9	1	842	090520D
Ni_28_B9	2	694	090520D
Ni_28_B9	3	557	090520D
Ni_28_B9	4	489	090520D
Ni_28_B9	5	234	090520D
Ni_28_B9	6	191	090520D
Ni_28_B9	7	140	090520D
Ni_28_B9	8	101	090520D
Ni_28_B9	9	92	090520D
Ni_29_A1	1	558	090605
Ni_29_A1	2	332	090605
Ni_29_A1	3	317	090605
Ni_29_A1	4	149	090605
Ni_29_A1	5	102	090605
Ni_29_A1	6	64	090605
Ni_29_B1	1	334	090605
Ni_29_B1	2	311	090605
Ni_29_B1	3	224	090605
Ni_29_B1	4	184	090605
Ni_29_B1	5	147	090605
Ni_29_B1	6	90	090605
Ni_29_C1	1	333	090605
Ni_29_C1	2	309	090605
Ni_29_C1	3	252	090605
Ni_29_C1	4	176	090605
Ni_29_C1	5	159	090605
Ni_29_C1	6	121	090605
Ni_29_C1	7	93	090605
Ni_29_D1	1	362	090605
Ni_29_D1	2	244	090605
Ni_29_D1	3	185	090605
Ni_29_D1	4	117	090605
Ni_29_E1	1	360	090605
Ni_29_E1	2	207	090605
Ni_29_E1	3	148	090605
Ni_29_E1	4	103	090605
Ni_29_E1	5	93	090605
Ni_29_F1	1	224	090605
Ni_29_F1	2	209	090605
Ni_29_F1	3	193	090605
Ni_29_F1	4	123	090605
Ni_29_F1	5	104	090605
Ni_29_F1	6	91	090605
Ni_29_F1	7	79	090605
Ni_29_G1	1	356	090605
Ni_29_G1	2	205	090605
Ni_29_G1	3	92	090605
Ni_29_G1	4	78	090605
Ni_29_H1	1	541	090605
Ni_29_H1	2	332	090605
Ni_29_H1	3	316	090605
Ni_29_H1	4	241	090605
Ni_29_H1	5	204	090605
Ni_29_H1	6	160	090605
Ni_29_H1	7	132	090605
Ni_29_H1	8	111	090605
Ni_29_H1	9	94	090605
Ni_29_H1	10	80	090605
Ni_29_H1	11	56	090605
Ni_29_A2	1	547	090605
Ni_29_A2	2	406	090605
Ni_29_A2	3	173	090605
Ni_29_A2	4	127	090605
Ni_29_A2	5	118	090605
Ni_29_A2	6	101	090605
Ni_29_B2	1	728	090605
Ni_29_B2	2	243	090605
Ni_29_B2	3	221	090605
Ni_29_B2	4	206	090605
Ni_29_B2	5	188	090605
Ni_29_B2	6	148	090605
Ni_29_B2	7	66	090605
Ni_29_C2	1	427	090605
Ni_29_C2	2	370	090605
Ni_29_C2	3	150	090605
Ni_29_D2	1	283	090605
Ni_29_D2	2	235	090605
Ni_29_D2	3	217	090605
Ni_29_D2	4	149	090605
Ni_29_D2	5	124	090605
Ni_29_E2	1	551	090605
Ni_29_E2	2	414	090605
Ni_29_E2	3	178	090605
Ni_29_E2	4	123	090605
Ni_29_E2	5	105	090605
Ni_29_E2	6	92	090605
Ni_29_F2	1	562	090605
Ni_29_F2	2	429	090605
Ni_29_F2	3	199	090605
Ni_29_F2	4	156	090605
Ni_29_F2	5	141	090605
Ni_29_F2	6	125	090605
Ni_29_F2	7	112	090605
Ni_29_G2	1	258	090605
Ni_29_G2	2	235	090605
Ni_29_G2	3	174	090605
Ni_29_G2	4	82	090605
Ni_29_H2	1	356	090605
Ni_29_H2	2	207	090605
Ni_29_H2	3	89	090605
Ni_29_H2	4	77	090605
Ni_29_A3	1	353	090605
Ni_29_A3	2	199	090605
Ni_29_A3	3	90	090605
Ni_29_A3	4	75	090605
Ni_29_B3	1	237	090605
Ni_29_B3	2	173	090605
Ni_29_B3	3	150	090605
Ni_29_B3	4	114	090605
Ni_29_B3	5	96	090605
Ni_29_B3	6	84	090605
Ni_29_C3	1	541	090605
Ni_29_C3	2	236	090605
Ni_29_C3	3	201	090605
Ni_29_C3	4	127	090605
Ni_29_C3	5	108	090605
Ni_29_C3	6	90	090605
Ni_29_C3	7	77	090605
Ni_29_C3	8	55	090605
Ni_29_C3	9	46	090605
Ni_29_D3	1	404	090605B
Ni_29_D3	2	147	090605B
Ni_29_D3	3	128	090605B
Ni_29_D3	4	114	090605B
Ni_29_D3	5	98	090605B
Ni_29_F3	1	233	090605B
Ni_29_F3	2	217	090605B
Ni_29_F3	3	204	090605B
Ni_29_F3	4	184	090605B
Ni_29_F3	5	138	090605B
